iter	Passed	Remaining
412	3666	85109
413	3674	85089
414	3682	85062
415	3691	85042
416	3700	85048
417	3709	85029
418	3718	85020
419	3725	84982
420	3733	84952
421	3742	84948
422	3750	84919
423	3758	84894
424	3766	84866
425	3775	84852
426	3785	84872
427	3793	84850
428	3803	84847
429	3810	84810
430	3820	84813
431	3828	84797
432	3836	84776
433	3845	84752
434	3853	84735
435	3861	84701
436	3869	84684
437	3878	84668
438	3886	84643
439	3894	84625
440	3905	84644
441	3914	84642
442	3921	84609
443	3930	84584
444	3938	84558
445	3946	84542
446	3954	84512
447	3962	84486
448	3970	84461
449	3979	84452
450	3987	84423
451	3995	84401
452	4003	84379
453	4012	84365
454	4019	84325
455	4028	84309
456	4036	84296
457	4044	84273
458	4053	84268
459	4061	84240
460	4070	84233
461	4080	84234
462	4088	84214
463	4097	84202
464	4107	84233
465	4117	84231
466	4125	84214
467	4134	84206
468	4143	84203
469	4152	84189
470	4161	84184
471	4169	84162
472	4178	84162
473	4187	84150
474	4195	84126
475	4203	84106
476	4212	84098
477	4220	84082
478	4230	84092
479	4239	84081
480	4248	84072
481	4256	84060
482	4266	84065
483	4278	84120
484	4287	84115
485	4320	84579
486	4329	84562
487	4336	84535
488	4345	84511
489	4352	84482
490	4361	84466
491	4369	84440
492	4378	84443
493	4387	84420
494	4396	84415
495	4404	84398
496	4413	84392
497	4422	84376
498	4430	84359
499	4438	84336
500	4446	84309
501	4454	84280
502	4462	84259
503	4470	84234
504	4479	84226
505	4487	84201
506	4497	84208
507	4505	84193
508	4515	84188
509	4522	84149
510	4530	84134
511	4539	84119
512	4548	84108
513	4556	84086
514	4564	84073
515	4573	84056
516	4582	84056
517	4591	84051
518	4600	84032
519	4615	84146
520	4624	84145
521	4633	84122
522	4643	84143
523	4652	84131
524	4659	84086
525	4668	84083
526	4677	84085
527	4686	84065
528	4696	84077
529	4704	84056
530	4714	84062
531	4722	84040
532	4731	84030
533	4739	84014
534	4748	84001
535	4756	83981
536	4765	83981
537	4774	83975
538	4783	83961
539	4791	83946
540	4800	83936
541	4809	83933
542	4819	83930
543	4827	83912
544	4835	83895
545	4844	83888
546	4852	83855
547	4860	83840
548	4868	83813
549	4877	83800
550	4885	83779
551	4896	83808
552	4905	83809
553	4913	83770
554	4921	83750
555	4931	83764
556	4940	83756
557	4948	83734
558	4956	83713
559	4965	83701
560	4973	83687
561	4982	83676
562	4991	83670
563	4998	83632
564	5008	83634
565	5016	83613
566	5025	83606
567	5033	83583
568	5041	83555
569	5049	83532
570	5057	83520
571	5065	83498
572	5074	83488
573	5082	83458
574	5092	83475
575	5103	83504
576	5111	83480
577	5120	83464
578	5130	83487
579	5139	83476
580	5148	83462
581	5156	83441
582	5164	83421
583	5173	83411
584	5181	83392
585	5191	83400
586	5200	83386
587	5208	83366
588	5216	83344
589	5225	83345
590	5233	83327
591	5241	83301
592	5249	83280
593	5258	83265
594	5267	83254
595	5275	83235
596	5283	83215
597	5294	83237
598	5303	83236
599	5311	83220
600	5320	83212
601	5328	83190
602	5337	83173
603	5345	83161
604	5354	83155
605	5363	83143
606	5372	83131
607	5380	83114
608	5389	83106
609	5398	83099
610	5407	83098
611	5416	83084
612	5424	83062
613	5433	83053
614	5441	83034
615	5449	83016
616	5457	82992
617	5465	82976
618	5474	82962
619	5481	82937
620	5491	82934
621	5499	82922
622	5508	82914
623	5517	82900
624	5525	82880
625	5533	82861
626	5542	82854
627	5552	82857
628	5560	82840
629	5570	82848
630	5578	82836
631	5587	82825
632	5595	82807
633	5605	82813
634	5614	82796
635	5622	82774
636	5630	82754
637	5638	82743
638	5646	82719
639	5655	82704
640	5663	82687
641	5671	82676
642	5680	82658
643	5688	82642
644	5697	82633
645	5706	82628
646	5714	82615
647	5723	82595
648	5731	82577
649	5739	82567
650	5748	82550
651	5757	82551
652	5766	82538
653	5774	82520
654	5783	82517
655	5792	82503
656	5801	82504
657	5809	82484
658	5818	82471
659	5825	82445
660	5833	82425
661	5842	82406
662	5850	82385
663	5858	82368
664	5866	82349
665	5874	82335
666	5883	82331
667	5893	82333
668	5903	82342
669	5911	82313
670	5919	82294
671	5927	82278
672	5936	82268
673	5944	82249
674	5953	82245
675	5962	82239
676	5971	82229
677	5979	82216
678	5987	82197
679	5996	82191
680	6005	82175
681	6014	82172
682	6022	82155
683	6031	82143
684	6038	82118
685	6046	82101
686	6055	82088
687	6064	82078
688	6072	82066
689	6082	82063
690	6090	82054
691	6100	82057
692	6109	82044
693	6118	82042
694	6126	82029
695	6135	82015
696	6143	81993
697	6152	81987
698	6161	81990
699	6170	81973
700	6178	81960
701	6186	81946
702	6195	81933
703	6204	81924
704	6213	81918
705	6221	81900
706	6229	81886
707	6237	81866
708	6245	81845
709	6254	81836
710	6263	81826
711	6271	81811
712	6280	81798
713	6288	81781
714	6297	81778
715	6305	81754
716	6313	81739
717	6322	81729
718	6331	81722
719	6339	81703
720	6347	81695
721	6356	81682
722	6365	81680
723	6374	81665
724	6382	81652
725	6392	81655
726	6404	81689
727	6413	81685
728	6423	81693
729	6433	81692
730	6442	81691
731	6451	81688
732	6461	81685
733	6470	81683
734	6482	81720
735	6492	81727
736	6500	81707
737	6509	81701
738	6518	81690
739	6527	81680
740	6535	81659
741	6543	81648
742	6553	81648
743	6562	81645
744	6571	81630
745	6579	81618
746	6588	81607
747	6597	81607
748	6605	81585
749	6613	81569
750	6622	81555
751	6630	81534
752	6638	81522
753	6647	81516
754	6655	81499
755	6663	81479
756	6672	81474
757	6681	81464
758	6689	81449
759	6697	81432
760	6706	81422
761	6715	81418
762	6723	81398
763	6732	81383
764	6740	81368
765	6748	81353
766	6756	81334
767	6765	81325
768	6773	81313
769	6783	81307
770	6792	81302
771	6800	81289
772	6809	81286
773	6817	81264
774	6826	81252
775	6833	81232
776	6842	81222
777	6850	81206
778	6859	81193
779	6867	81175
780	6877	81179
781	6885	81161
782	6894	81155
783	6901	81126
784	6910	81119
785	6918	81103
786	6926	81089
787	6935	81077
788	6944	81074
789	6953	81064
790	6962	81056
791	6972	81061
792	6981	81056
793	6992	81070
794	7001	81070
795	7012	81083
796	7021	81076
797	7030	81074
798	7041	81092
799	7054	81122
800	7062	81103
801	7070	81087
802	7081	81109
803	7091	81114
804	7100	81102
805	7108	81088
806	7117	81078
807	7126	81075
808	7134	81060
809	7144	81053
810	7153	81057
811	7162	81048
812	7171	81036
813	7180	81033
814	7187	81007
815	7197	81001
816	7204	80983
817	7212	80964
818	7221	80957
819	7230	80943
820	7238	80927
821	7246	80906
822	7254	80896
823	7263	80881
824	7272	80882
825	7284	80902
826	7292	80892
827	7301	80878
828	7310	80873
829	7320	80875
830	7328	80860
831	7336	80845
832	7346	80847
833	7355	80842
834	7364	80827
835	7372	80819
836	7380	80800
837	7389	80794
838	7397	80776
839	7406	80762
840	7414	80748
841	7423	80738
842	7431	80725
843	7440	80716
844	7448	80698
845	7456	80678
846	7465	80672
847	7476	80684
848	7486	80688
849	7493	80670
850	7502	80657
851	7511	80648
852	7522	80671
853	7532	80666
854	7541	80660
855	7550	80661
856	7559	80645
857	7567	80634
858	7576	80622
859	7588	80646
860	7596	80635
861	7605	80622
862	7614	80614
863	7622	80602
864	7630	80588
865	7640	80587
866	7648	80571
867	7657	80558
868	7665	80542
869	7674	80533
870	7685	80556
871	7694	80543
872	7703	80533
873	7710	80515
874	7720	80509
875	7729	80503
876	7737	80487
877	7745	80472
878	7754	80463
879	7762	80444
880	7770	80430
881	7779	80420
882	7787	80409
883	7795	80393
884	7804	80377
885	7812	80362
886	7820	80345
887	7828	80332
888	7837	80323
889	7845	80308
890	7853	80289
891	7861	80276
892	7870	80267
893	7879	80260
894	7887	80244
895	7896	80231
896	7904	80219
897	7913	80212
898	7922	80198
899	7930	80182
900	7939	80178
901	7949	80177
902	7956	80157
903	7965	80152
904	7974	80137
905	7983	80135
906	7992	80125
907	7999	80104
908	8007	80083
909	8015	80068
910	8023	80054
911	8032	80040
912	8039	80021
913	8048	80013
914	8057	79999
915	8065	79989
916	8074	79980
917	8084	79977
918	8093	79970
919	8102	79972
920	8111	79960
921	8120	79952
922	8129	79946
923	8137	79933
924	8146	79927
925	8156	79923
926	8164	79914
927	8173	79899
928	8182	79895
929	8191	79887
930	8198	79863
931	8206	79845
932	8215	79834
933	8223	79818
934	8232	79814
935	8240	79799
936	8248	79784
937	8257	79777
938	8266	79772
939	8275	79763
940	8284	79751
941	8292	79735
942	8301	79732
943	8310	79721
944	8318	79706
945	8326	79695
946	8335	79687
947	8345	79684
948	8353	79674
949	8363	79672
950	8372	79664
951	8380	79649
952	8388	79635
953	8396	79616
954	8404	79604
955	8412	79588
956	8421	79579
957	8430	79569
958	8438	79554
959	8446	79538
960	8454	79519
961	8462	79509
962	8472	79509
963	8481	79498
964	8489	79488
965	8498	79476
966	8507	79466
967	8515	79453
968	8523	79441
969	8533	79438
970	8542	79433
971	8549	79408
972	8557	79395
973	8566	79388
974	8575	79377
975	8583	79361
976	8591	79345
977	8599	79333
978	8607	79313
979	8615	79298
980	8624	79292
981	8632	79277
982	8641	79272
983	8650	79260
984	8659	79250
985	8667	79240
986	8676	79233
987	8684	79218
988	8693	79208
989	8702	79197
990	8710	79189
991	8719	79178
992	8727	79161
993	8735	79149
994	8745	79145
995	8753	79129
996	8761	79117
997	8770	79109
998	8779	79100
999	8787	79090
1000	8796	79077
1001	8803	79059
1002	8812	79050
1003	8821	79038
1004	8829	79024
1005	8837	79011
1006	8845	78994
1007	8853	78980
1008	8863	78978
1009	8872	78974
1010	8881	78966
1011	8889	78952
1012	8898	78945
1013	8907	78935
1014	8915	78925
1015	8924	78915
1016	8935	78921
1017	8943	78912
1018	8952	78900
1019	8959	78882
1020	8967	78862
1021	8975	78847
1022	8983	78834
1023	8992	78821
1024	9000	78811
1025	9007	78787
1026	9016	78780
1027	9024	78764
1028	9032	78750
1029	9041	78742
1030	9050	78732
1031	9060	78732
1032	9069	78726
1033	9077	78711
1034	9086	78703
1035	9094	78691
1036	9103	78679
1037	9111	78671
1038	9120	78662
1039	9129	78652
1040	9140	78660
1041	9148	78650
1042	9156	78636
1043	9166	78632
1044	9174	78623
1045	9183	78612
1046	9190	78589
1047	9198	78577
1048	9206	78557
1049	9215	78547
1050	9223	78534
1051	9232	78531
1052	9241	78519
1053	9249	78509
1054	9265	78555
1055	9273	78542
1056	9282	78534
1057	9291	78530
1058	9299	78517
1059	9308	78510
1060	9317	78499
1061	9326	78489
1062	9334	78479
1063	9343	78468
1064	9351	78454
1065	9360	78450
1066	9369	78443
1067	9377	78430
1068	9385	78413
1069	9393	78393
1070	9401	78382
1071	9410	78371
1072	9419	78365
1073	9427	78355
1074	9436	78345
1075	9445	78338
1076	9455	78340
1077	9464	78330
1078	9472	78313
1079	9481	78309
1080	9489	78298
1081	9498	78288
1082	9506	78276
1083	9515	78269
1084	9524	78256
1085	9532	78246
1086	9541	78238
1087	9550	78231
1088	9559	78223
1089	9569	78220
1090	9577	78205
1091	9585	78191
1092	9593	78176
1093	9601	78160
1094	9609	78147
1095	9617	78134
1096	9626	78127
1097	9634	78110
1098	9642	78092
1099	9652	78101
1100	9664	78112
1101	9672	78102
1102	9681	78093
1103	9689	78078
1104	9698	78070
1105	9707	78060
1106	9716	78054
1107	9724	78039
1108	9734	78039
1109	9744	78041
1110	9753	78035
1111	9762	78030
1112	9771	78020
1113	9779	78006
1114	9787	77989
1115	9795	77980
1116	9804	77968
1117	9812	77958
1118	9820	77943
1119	9828	77928
1120	9836	77913
1121	9846	77912
1122	9855	77901
1123	9864	77896
1124	9873	77890
1125	9883	77889
1126	9892	77886
1127	9901	77878
1128	9909	77866
1129	9919	77861
1130	9927	77846
1131	9935	77837
1132	9944	77828
1133	9953	77817
1134	9960	77799
1135	9969	77786
1136	9976	77771
1137	9985	77763
1138	9993	77745
1139	10001	77730
1140	10009	77716
1141	10018	77712
1142	10027	77704
1143	10035	77690
1144	10044	77677
1145	10056	77694
1146	10065	77686
1147	10074	77678
1148	10082	77665
1149	10091	77659
1150	10099	77643
1151	10108	77638
1152	10116	77624
1153	10125	77615
1154	10133	77604
1155	10142	77593
1156	10150	77582
1157	10159	77572
1158	10167	77558
1159	10176	77548
1160	10184	77537
1161	10192	77521
1162	10200	77509
1163	10208	77493
